{input difference of the middle part, output mask of the middle part, correlation}

[0x2, 0x10000000, 0x0, 0x4, -9.720192399999998], 
[0x2, 0x10000000, 0x0, 0x8, -9.3094954], 
[0x2, 0x10000000, 0x0, 0x100, -9.0845162], 
[0x2, 0x10000000, 0x0, 0x200, -8.977976199999999], 
[0x2, 0x10000000, 0x0, 0x400, -9.1150332], 
[0x2, 0x10000000, 0x0, 0x800, -9.9579702], 
[0x2, 0x10000000, 0x0, 0x100000, -11.1232998], 
[0x2, 0x10000000, 0x0, 0x200000, -10.5131838], 
[0x2, 0x10000000, 0x0, 0x400000, -11.3822072], 
[0x2, 0x10000000, 0x0, 0x800000, -11.1248104], 
[0x2, 0x10000000, 0x0, 0x8000000, -11.582293400000001], 
[0x4, 0x20000000, 0x0, 0x1, -9.625982599999999], 
[0x4, 0x20000000, 0x0, 0x2, -9.2215812], 
[0x4, 0x20000000, 0x0, 0x4, -9.729366599999999], 
[0x4, 0x20000000, 0x0, 0x8, -9.3179648], 
[0x4, 0x20000000, 0x0, 0x100, -8.9692602], 
[0x4, 0x20000000, 0x0, 0x200, -8.8308358], 
[0x4, 0x20000000, 0x0, 0x400, -8.841239], 
[0x4, 0x20000000, 0x0, 0x800, -9.7012936], 
[0x4, 0x20000000, 0x0, 0x200000, -11.504849599999998], 
[0x4, 0x20000000, 0x0, 0x400000, -11.7143822], 
[0x4, 0x20000000, 0x4000, 0x0, -11.6834514], 
[0x4, 0x20000000, 0x8000, 0x0, -11.837976800000002], 
[0x8, 0x40000000, 0x0, 0x1, -9.540214800000001], 
[0x8, 0x40000000, 0x0, 0x2, -9.3263086], 
[0x8, 0x40000000, 0x0, 0x4, -9.6610866], 
[0x8, 0x40000000, 0x0, 0x8, -10.0163384], 
[0x8, 0x40000000, 0x0, 0x200, -11.9359632], 
[0x8, 0x40000000, 0x0, 0x1000, -10.7487118], 
[0x8, 0x40000000, 0x0, 0x2000, -9.7897096], 
[0x8, 0x40000000, 0x0, 0x4000, -10.6630016], 
[0x8, 0x40000000, 0x0, 0x8000, -9.628912399999999], 
[0x8, 0x40000000, 0x0, 0x100000, -10.936126999999999], 
[0x8, 0x40000000, 0x0, 0x200000, -10.8870598], 
[0x8, 0x40000000, 0x0, 0x400000, -10.993280000000002], 
[0x8, 0x40000000, 0x0, 0x2000000, -11.5314072], 
[0x8, 0x40000000, 0x0, 0x8000000, -11.0366144], 
[0x10, 0x80000000, 0x0, 0x1, -10.9874248], 
[0x10, 0x80000000, 0x0, 0x2, -10.906503599999999], 
[0x10, 0x80000000, 0x0, 0x4, -11.096536], 
[0x10, 0x80000000, 0x0, 0x8, -11.412334000000001], 
[0x1, 0x0, 0x0, 0x1, -8.404819400000001], 
[0x1, 0x0, 0x0, 0x2, -7.479430599999999], 
[0x1, 0x0, 0x0, 0x4, -8.3206478], 
[0x1, 0x0, 0x0, 0x8, -7.7220054000000005], 
[0x1, 0x0, 0x0, 0x100, -6.440392399999999], 
[0x1, 0x0, 0x0, 0x200, -6.1789788], 
[0x1, 0x0, 0x0, 0x400, -6.408606000000001], 
[0x1, 0x0, 0x0, 0x800, -6.931414000000001], 
[0x1, 0x0, 0x0, 0x2000, -9.9274636], 
[0x1, 0x0, 0x0, 0x8000, -9.3683424], 
[0x1, 0x0, 0x0, 0x10000, -10.140163], 
[0x1, 0x0, 0x0, 0x20000, -9.963197400000002], 
[0x1, 0x0, 0x0, 0x40000, -10.235950200000001], 
[0x1, 0x0, 0x0, 0x80000, -11.1626218], 
[0x1, 0x0, 0x0, 0x100000, -8.760708], 
[0x1, 0x0, 0x0, 0x200000, -8.0149388], 
[0x1, 0x0, 0x0, 0x400000, -8.6996446], 
[0x1, 0x0, 0x0, 0x800000, -8.3453532], 
[0x1, 0x0, 0x0, 0x2000000, -10.077270200000001], 
[0x1, 0x0, 0x0, 0x8000000, -10.314228799999999], 
[0x1, 0x0, 0x0, 0x10000000, -9.803163000000001], 
[0x1, 0x0, 0x0, 0x20000000, -9.390555199999998], 
[0x1, 0x0, 0x0, 0x40000000, -9.509012799999999], 
[0x1, 0x0, 0x0, 0x80000000, -10.1191682], 
[0x1, 0x0, 0x20, 0x0, -9.3438044], 
[0x1, 0x0, 0x40, 0x0, -9.2940732], 
[0x1, 0x0, 0x80, 0x0, -9.857121800000002], 
[0x1, 0x0, 0x2000, 0x0, -9.308563600000001], 
[0x1, 0x0, 0x4000, 0x0, -9.8826592], 
[0x1, 0x0, 0x8000, 0x0, -9.9454816], 
[0x1, 0x0, 0x20000, 0x0, -11.6956186], 
[0x1, 0x0, 0x40000, 0x0, -10.6435718], 
[0x1, 0x0, 0x2000000, 0x0, -10.5319874], 
[0x1, 0x0, 0x4000000, 0x0, -10.8712132], 
[0x1, 0x0, 0x8000000, 0x0, -10.882996400000001], 
[0x1, 0x0, 0x20000000, 0x0, -11.5066918], 
[0x1, 0x0, 0x40000000, 0x0, -11.2971964], 
[0x3, 0x0, 0x0, 0x1, -9.3468448], 
[0x3, 0x0, 0x0, 0x2, -8.8644742], 
[0x3, 0x0, 0x0, 0x4, -9.3539546], 
[0x3, 0x0, 0x0, 0x8, -9.086045200000001], 
[0x3, 0x0, 0x0, 0x100, -6.752856800000001], 
[0x3, 0x0, 0x0, 0x200, -6.4765614], 
[0x3, 0x0, 0x0, 0x400, -6.744760799999999], 
[0x3, 0x0, 0x0, 0x800, -7.30398], 
[0x3, 0x0, 0x0, 0x2000, -11.725099199999999], 
[0x3, 0x0, 0x0, 0x10000, -9.7165782], 
[0x3, 0x0, 0x0, 0x20000, -9.801057199999999], 
[0x3, 0x0, 0x0, 0x40000, -9.6355996], 
[0x3, 0x0, 0x0, 0x80000, -11.163338399999999], 
[0x3, 0x0, 0x0, 0x100000, -10.7182732], 
[0x3, 0x0, 0x0, 0x200000, -9.5192286], 
[0x3, 0x0, 0x0, 0x400000, -10.5274958], 
[0x3, 0x0, 0x0, 0x800000, -9.6368384], 
[0x3, 0x0, 0x0, 0x10000000, -10.6937744], 
